str	Força	Strength
ifTargetHpLess	Se o HP estiver a ou abaixo de VAL%	If HP is at or below VAL%
more_games	Mais Jogos	More Games
rest_rest_poisonadd_hint	Ganhe Veneno extra	Get an Extra Poison
sword_5	Espada de Prata dos Anões	Mithril Sword
trash_hint	Pilha de Cartas Exauridas	Exhausted Pile
act4_tag	Ato4: Demasiado Longe	Act 4: Too Far
start	Começar	Start
event_cardNone1_rnd_txt	Obtenha uma carta sem cor comum aleatória	Obtain a random common colorless Card
ctype_2	habilidade	Skill
act3_tag	Ato3: Além	Act 3: Beyond
